Date,Close/Last,Volume,Open,High,Low
1/26/2024,153.79,19494490,152.87,154.11,152.8
1/25/2024,153.64,21495120,151.74,154.76,151.22
1/24/2024,150.35,19245030,150.29,151.57,149.84
1/23/2024,148.68,14113650,147.72,148.86,147.19
1/22/2024,147.71,21829230,148.71,150.02,147.58
1/19/2024,147.97,27181030,146.31,148.04,145.8
1/18/2024,144.99,18876800,143.44,145.59,143.35
1/17/2024,142.89,17884550,142.91,143.41,140.51
1/16/2024,144.08,19198940,143.43,145.84,143.06
1/12/2024,144.24,13998730,144.34,144.74,143.36
1/11/2024,143.67,17471130,144.9,146.66,142.22
1/10/2024,143.8,16641880,142.52,144.53,142.46
1/9/2024,142.56,19579670,140.06,142.8,139.79
1/8/2024,140.53,17645290,138,140.64,137.88
1/5/2024,137.39,15439480,138.35,138.81,136.85
1/4/2024,138.04,18253330,139.85,140.64,138.01
1/3/2024,140.36,18974310,138.6,141.09,138.43
1/2/2024,139.56,20071890,139.6,140.61,137.74
12/29/2023,140.93,14880960,140.68,141.44,139.9
12/28/2023,141.28,12192550,141.85,142.27,140.83
12/27/2023,141.44,17288360,142.83,143.32,141.05
12/26/2023,142.82,11170070,142.98,143.95,142.5
12/22/2023,142.72,18513520,142.13,143.25,142.06
12/21/2023,141.8,18101480,140.77,142.03,140.47
12/20/2023,139.66,33507340,140.33,143.08,139.41
12/19/2023,138.1,20661000,138,138.77,137.45
12/18/2023,137.19,25699770,133.86,138.38,133.77
12/15/2023,133.84,58594000,132.92,134.83,132.63
12/14/2023,133.2,29619100,134.77,135.04,131.06
12/13/2023,133.97,25414460,134.55,134.78,132.95
12/12/2023,133.64,26583980,133.27,134.54,132.83
12/11/2023,134.7,24502860,133.82,134.79,132.89
12/8/2023,136.64,23016140,135.66,137.99,135.57
12/7/2023,138.45,38419430,136.6,140,136.23
12/6/2023,131.43,16360650,132.9,133.31,131.31
12/5/2023,132.39,19235150,130.37,133.54,129.73
12/4/2023,130.63,24117080,131.29,131.45,129.4
12/1/2023,133.32,24267990,133.32,133.5,132.15
11/30/2023,133.92,29913530,136.4,136.96,132.79
11/29/2023,136.4,21014720,138.99,139.67,136.3
11/28/2023,138.62,17046870,137.63,138.66,137.04
11/27/2023,138.05,17886390,137.57,139.63,137.54
11/24/2023,138.22,8828640,139.54,139.68,137.47
11/22/2023,140.02,17310210,139.1,141.1,139
11/21/2023,138.62,17648070,137.94,138.97,137.71
11/20/2023,137.92,19589010,135.5,138.43,135.49
11/17/2023,136.94,25590190,137.82,138,135.48
11/16/2023,138.7,17615070,136.96,138.88,136.08
11/15/2023,136.38,15840880,136.64,136.84,135.33
11/14/2023,135.43,22317350,135.65,137.24,135.1
11/13/2023,133.64,16409860,133.36,134.11,132.77
11/10/2023,134.06,20879840,131.53,134.27,130.87
11/9/2023,131.69,17976530,133.36,133.96,131.51
11/8/2023,133.26,15093600,132.36,133.54,132.16
11/7/2023,132.4,19223790,131.98,133.28,131.14
11/6/2023,131.45,15360360,130.22,131.56,129.93
11/3/2023,130.37,19529450,129.09,130.73,129.01
11/2/2023,128.58,24091670,129.56,130.09,128.11
11/1/2023,127.57,26536600,125.34,127.74,124.93
10/31/2023,125.3,21123420,126.27,126.56,123.93
10/30/2023,125.75,24165630,124.46,126.55,123.88
10/27/2023,123.4,37367670,124.03,124.44,121.46
10/26/2023,123.44,33907360,124.47,125.46,122.32
10/25/2023,126.67,58796070,129.77,130.1,126.09
10/24/2023,140.12,26535200,139.16,140.71,138.75
10/23/2023,137.9,20780670,136.23,139.02,135.11
10/20/2023,136.74,24970260,138.59,139.04,136.25
10/19/2023,138.98,21831180,139.8,141.01,138.6
10/18/2023,139.28,18304870,140.75,141.99,138.71
10/17/2023,140.99,17424020,140.03,141.25,138.53
10/16/2023,140.49,17345560,139.73,140.91,139.32
10/13/2023,138.58,19447570,140.65,141.34,137.97
10/12/2023,140.29,18173110,142.16,142.38,139.45
10/11/2023,141.7,20146340,139.85,142.22,139.84
10/10/2023,139.2,19554920,139.51,140.74,138.43
10/9/2023,139.5,16599100,137.99,139.97,136.7
10/6/2023,138.73,20826680,134.94,139.19,134.94
10/5/2023,135.99,15922940,136.13,136.5,134.46
10/4/2023,136.27,22847990,133.66,136.57,133.43
10/3/2023,133.3,19628740,134.93,135.24,132.82
10/2/2023,135.17,19210390,132.16,135.36,132.07
9/29/2023,131.85,23237340,134.08,134.89,131.32
9/28/2023,133.13,18201390,130.69,134.18,130.69
9/27/2023,131.46,18764200,129.44,131.72,129.38
9/26/2023,129.45,20378790,130.91,131.41,128.19
9/25/2023,132.17,14650030,130.77,132.22,130.03
9/22/2023,131.25,17355280,131.68,133.01,130.51
9/21/2023,131.36,22058380,132.39,133.19,131.09
9/20/2023,134.59,21473530,138.83,138.84,134.52
9/19/2023,138.83,15484640,138.25,139.18,137.5
9/18/2023,138.96,16233590,137.63,139.93,137.63
9/15/2023,138.3,48958840,138.8,139.36,137.18
9/14/2023,138.99,19064610,138.39,139.55,137.06
9/13/2023,137.5,16394920,135.9,137.7,134.93
9/12/2023,136.07,15212930,137.13,137.64,135.93
9/11/2023,137.74,17180760,137.38,138.26,136.55
9/8/2023,137.2,17820010,135.87,137.52,135.87
9/7/2023,136.2,16975960,134.6,136.58,133.96
9/6/2023,135.37,15814330,137.02,137.48,134.69
9/5/2023,136.71,17730220,136.44,137.37,135.56
9/1/2023,136.8,16671650,138.43,138.58,135.94
8/31/2023,137.35,28147850,137.05,138.4,136.82
8/30/2023,136.93,21773360,135.57,137.25,135.02
8/29/2023,135.49,30803270,133,137.3,132.98
8/28/2023,131.79,16715470,132.08,133.24,130.85
8/25/2023,130.69,20678100,130.14,131.4,128.04
8/24/2023,130.42,18680380,134.73,134.97,130.3
8/23/2023,133.21,26497030,130.85,134.07,130.51
8/22/2023,129.69,15569370,129.13,130.95,128.93
8/21/2023,128.93,21851070,127.85,129.26,127.16
8/18/2023,128.11,23627200,129.06,129.83,127
8/17/2023,130.46,23665560,130.45,132.49,129.85
8/16/2023,129.11,17548360,129.28,130.9,128.46
8/15/2023,130.27,14769170,131.59,131.99,129.82
8/14/2023,131.83,17526200,129.85,131.91,129.59
8/11/2023,130.17,15205470,129.2,130.44,128.75
8/10/2023,130.21,17855680,131.97,132.65,130.04
8/9/2023,130.15,17745220,132.19,132.47,129.51
8/8/2023,131.84,16835950,130.98,131.94,130.13
8/7/2023,131.94,17621040,129.51,132.06,129.43
8/4/2023,128.54,20521850,129.6,131.93,128.32
8/3/2023,128.77,15086130,128.37,129.77,127.78
8/2/2023,128.64,22705780,129.84,130.42,127.85
8/1/2023,131.89,22219010,130.86,132.92,130.75
7/31/2023,133.11,18381890,133.01,133.83,132.13
