detected_arch_length,simulated_arch_length,arch_length_discrepancy,label,num_incisors,num_canines,num_premolars,num_molars,avg_confidence_incisor,avg_confidence_canine,avg_confidence_premolar,avg_confidence_molar,detected_arch_length_outliers_flg
2033.665072,1942.396881,91.26819027,basic,4,2,4,4,0.8945248574,0.8947407007,0.9069951922,0.9162738621,False
1813.300918,1762.346622,50.95429519,basic,4,2,4,4,0.8906096369,0.8899012804,0.8971961886,0.904459998,False
2073.829495,2030.015993,43.81350209,pro,4,2,4,4,0.899265185,0.8867198229,0.8995328695,0.907477349,False
1998.339193,1866.797738,131.5414543,basic,3,2,4,4,0.8882952134,0.8942138851,0.8985707909,0.9202643782,False
2035.375914,1969.471081,65.90483309,pro,4,2,4,4,0.8928649575,0.8823134303,0.8987737298,0.9083341509,False
1936.589117,1854.267348,82.32176886,basic,4,2,4,4,0.8819274157,0.8998150527,0.8939413577,0.9108943492,False
1954.834448,1895.010116,59.82433243,basic,4,2,4,4,0.8955165744,0.9084135294,0.903079614,0.9081882834,False
2086.223595,1919.894606,166.3289885,basic,4,2,4,4,0.8964415342,0.9058369994,0.9022493213,0.9011417776,False
2223.429068,2121.918294,101.5107733,basic,4,2,4,5,0.8954547644,0.8928507566,0.8937211484,0.8290573478,False
2001.531114,2018.971825,-17.44071183,basic,4,2,4,4,0.8920345306,0.8927560449,0.8919978291,0.914145112,False
2203.514186,2128.494953,75.01923318,basic,4,2,4,6,0.8976590335,0.8945048749,0.8923995048,0.9071918527,False
1977.740794,1924.276896,53.46389806,basic,4,2,4,4,0.8840021938,0.8860925436,0.9010830671,0.9015337378,False
2034.805527,1916.480857,118.3246698,basic,4,2,4,4,0.8969060332,0.8931242526,0.900484398,0.9114242941,False
1932.904265,1886.409961,46.49430427,basic,4,2,4,5,0.8948343247,0.9049543142,0.911405921,0.9126668692,False
2097.697631,2029.073094,68.62453675,basic,4,2,4,4,0.8956592977,0.8923021853,0.897141099,0.9122979343,False
2011.664481,1939.716968,71.94751282,basic,4,2,4,5,0.8956063241,0.8976803124,0.9047683477,0.9151966333,False
2100.047606,2002.764342,97.28326424,pro,4,2,4,5,0.8918232173,0.9023456872,0.8895376474,0.9108674765,False
2067.108334,1952.206932,114.9014029,basic,4,2,4,4,0.8920205981,0.8960815072,0.9045961052,0.9110167474,False
1941.31953,1854.393432,86.92609832,basic,4,2,4,4,0.8953107446,0.8970970213,0.8951982558,0.9171781838,False
2016.718646,1979.461349,37.25729729,basic,4,2,4,4,0.8885284513,0.8954413831,0.8982617557,0.9079000205,False
1898.773262,1825.536733,73.23652951,basic,4,2,4,4,0.8919142932,0.8920902312,0.9043578207,0.9007237405,False
1932.266269,1785.072864,147.1934051,basic,4,2,4,6,0.8877949268,0.8934881389,0.8930948675,0.9087293744,False
1968.868579,1910.098406,58.77017297,basic,4,2,4,4,0.889808923,0.8934091628,0.904071793,0.9136197269,False
2117.466435,2055.373862,62.0925729,basic,4,2,4,6,0.893926844,0.8939587772,0.8912868947,0.9121317665,False
2069.563262,2003.693877,65.86938498,basic,4,2,4,4,0.8952350616,0.8911581635,0.8946986645,0.9104391932,False
1917.768504,1828.612198,89.15630661,basic,4,2,4,4,0.8954303414,0.8973281682,0.9038610905,0.9148364514,False
1924.898801,1895.921917,28.97688393,basic,4,2,4,4,0.8932843208,0.8961152136,0.9030872583,0.9016824961,False
